text,label
Your Amazon package has been delivered to your doorstep.,SAFE
Your courier contains prohibited items. Transfer the investigation fee immediately to avoid legal action.,SCAM
Your Jio Fiber plan active. Speed: 100 Mbps. Next bill date 20-Aug.,SAFE
"Salary of Rs 65,000 credited to your account XX4829 on 01-Aug.",SAFE
Your electricity power supply will be cut off by 10 PM. Contact Electricity Officer 9123456789,SCAM
"Income tax refund of Rs 15,400 approved. Update bank account details at http://itr-refund-gov.in",SCAM
OTP for accessing your DigiLocker account is 481029. Valid for 10 minutes.,SAFE
"Dear customer, your mobile recharge of Rs 299 was successful. Validity: 28 days.",SAFE
"Dear customer, your SIM card will be deactivated within 24 hours. Update KYC by calling 9876543210.",SCAM
Your FASTag recharge of Rs 500 was successful.,SAFE
"Your LIC policy matured! Claim Rs 3,50,000 bonus by paying processing charge Rs 2,000.",SCAM
Your Airtel Postpaid bill of Rs 599 generated. Due date 18th August.,SAFE
Meeting reminder: Team sync at 3 PM in Conference Room B.,SAFE
Your fixed deposit will mature on 15 September. Please contact your branch for details.,SAFE
Your KYC documents were received successfully. No further action is required.,SAFE
Police summons: You are summoned for cyber crime investigation. Contact Inspector immediately.,SCAM
URGENT: Your SBI bank account is suspended. Click link http://sbi-update-kyc.com to verify PAN.,SCAM
Your DL Renewal application #392019 status: Approved by RTO.,SAFE
Congratulations! Selected for iPhone 15 Pro giveaway. Pay shipping charge Rs 99 to claim.,SCAM
Reminder: Annual health check-up scheduled for next Monday at 10 AM.,SAFE
Install this support APK immediately so our bank technician can resolve the KYC issue.,SCAM
Your electricity connection cut off notice issued. Call power office hotline 9811223344,SCAM
"Your SBI Mutual Fund SIP of Rs 5,000 successfully processed for August.",SAFE
Your account has been selected for a special government benefit. Pay the registration fee to receive it.,SCAM
Your bank has received your KYC update request and will notify you through official channels.,SAFE
Congratulations! You have won a lottery prize of Rs 10 lakh. Share bank account details to claim.,SCAM
"Work from home offer! Earn Rs 3,000 per day by liking YouTube videos. Contact HR on WhatsApp.",SCAM
Your mobile recharge of Rs 299 was completed successfully.,SAFE
"Dear subscriber, update your mobile KYC immediately by sending your Aadhaar number and OTP.",SCAM
Your policy premium receipt for LIC Policy #84920194 is generated.,SAFE
TRAI Notice: Your mobile number will be blocked in 2 hours due to illegal activities.,SCAM
Pay TM KYC incomplete! Your wallet is blocked. Send OTP 938210 to unblock wallet immediately.,SCAM
"Customs department seized parcel with foreign currency. Pay clearance charge Rs 12,000 now.",SCAM
Your tax return acknowledgement has been generated successfully.,SAFE
Your credit card reward points expire today. Click the link and enter your card details to redeem them.,SCAM
Your electricity bill of Rs 540 is due tomorrow.,SAFE
Your flight ticket to Mumbai is confirmed. PNR: ABC123D. Departure 08:30 AM.,SAFE
Your FASTag account is blacklisted. Re-charge now at http://fastag-recharge-update.org,SCAM
Your electricity connection remains active. No payment is required at this time.,SAFE
Police have issued a warrant against you. Pay the security amount immediately to avoid arrest.,SCAM
Your bank account will be blocked today. Verify your KYC by sharing the OTP sent to your phone.,SCAM
Your train ticket for 12626 Kerala Express is confirmed. Coach S4 Seat 32.,SAFE
Cyber Cell Warning: Your IP address involved in illegal content. Pay settlement fee immediately.,SCAM
"Dear customer, your ATM card expires today. Call helpline and disclose 16-digit card number.",SCAM
Your order #84920 has been dispatched and will arrive in 2-3 business days.,SAFE
Your debit card ending 4821 was used for a purchase of Rs 1250.,SAFE
Congratulations! You won Rs 5 lakh in a lottery. Pay the processing fee and share your bank details.,SCAM
"Dear customer, Rs 500 received in your Paytm wallet from Vivek Kumar.",SAFE
Your electricity connection will be disconnected tonight at 9:30 PM due to unpaid bill. Call helpline now.,SCAM
Your SIM will be deactivated tonight. Verify your Aadhaar and OTP immediately.,SCAM
Your ATM card is ready for collection at your registered branch.,SAFE
"Your HDFC credit card statement for statement date 15-Jul is generated. Total due: Rs 3,420.",SAFE
You are under digital arrest. Stay on video call and transfer the requested money for verification.,SCAM
Your Gas connection will be disconnected today. Pay bill immediately at http://gas-bill-pay.com,SCAM
Your electricity bill of Rs 540 is due tomorrow. Pay on the official app.,SAFE
